ride ID,latitude,longitude,time_received,vehicle_id,distance_along_trip,inferred_direction_id,inferred_phase,inferred_route_id,inferred_trip_id,next_scheduled_stop_distance,next_scheduled_stop_id
41,40.549737,-74.137262,2014-08-01 04:10:46,4513,"14,866.0023990216",1,IN_PROGRESS,MTA NYCT_S78,MTA NYCT_CH_C4-Weekday-141000_MISC_881,53.605621445211,MTA_201136
42,40.546846,-74.14092,2014-08-01 04:11:20,4513,"15,310.8444024519",1,IN_PROGRESS,MTA NYCT_S78,MTA NYCT_CH_C4-Weekday-141000_MISC_881,53.605621445211,MTA_201136
43,40.544165,-74.144398,2014-08-01 04:11:51,4513,"15,725.2712594135",1,IN_PROGRESS,MTA NYCT_S78,MTA NYCT_CH_C4-Weekday-141000_MISC_881,94.05739625998103,MTA_201138
44,40.542611,-74.145793,2014-08-01 04:12:22,4513,"15,942.549795288",1,IN_PROGRESS,MTA NYCT_S78,MTA NYCT_CH_C4-Weekday-141000_MISC_881,54.31963396861829,MTA_201141
45,40.540459,-74.147663,2014-08-01 04:12:53,4513,"16,229.4969278529",1,IN_PROGRESS,MTA NYCT_S78,MTA NYCT_CH_C4-Weekday-141000_MISC_881,108.55949934492673,MTA_200367
46,40.536592,-74.151444,2014-08-01 04:13:24,4513,"16,760.3062831043",1,IN_PROGRESS,MTA NYCT_S78,MTA NYCT_CH_C4-Weekday-141000_MISC_881,46.586942090667435,MTA_202664
47,40.53448,-74.153917,2014-08-01 04:13:56,4513,"17,081.8719939664",1,IN_PROGRESS,MTA NYCT_S78,MTA NYCT_CH_C4-Weekday-141000_MISC_881,46.586942090667435,MTA_202664
48,40.704476,-74.014164,2014-08-01 04:14:11,5249,317.847499223499,0,IN_PROGRESS,MTA NYCT_M20,MTA NYCT_MQ_C4-Weekday-144000_M104_34,3.80005920190888,MTA_404983
49,40.534447,-74.153955,2014-08-01 04:14:27,4513,"17,081.8719939664",1,IN_PROGRESS,MTA NYCT_S78,MTA NYCT_CH_C4-Weekday-141000_MISC_881,31.253387284450582,MTA_202856
50,40.704764,-74.014723,2014-08-01 04:14:43,5249,373.524022842743,0,IN_PROGRESS,MTA NYCT_M20,MTA NYCT_MQ_C4-Weekday-144000_M104_34,167.02957085776143,MTA_450335
51,40.531603,-74.156693,2014-08-01 04:14:58,4513,"17,474.964950131",1,IN_PROGRESS,MTA NYCT_S78,MTA NYCT_CH_C4-Weekday-141000_MISC_881,31.253387284450582,MTA_202856
52,40.704895,-74.0167,2014-08-01 04:15:14,5249,579.878550129142,0,IN_PROGRESS,MTA NYCT_M20,MTA NYCT_MQ_C4-Weekday-144000_M104_34,111.35304723851732,MTA_450335
53,40.529801,-74.160652,2014-08-01 04:15:39,4513,"17,872.5981973867",1,IN_PROGRESS,MTA NYCT_S78,MTA NYCT_CH_C4-Weekday-141000_MISC_881,106.50114704483713,MTA_201173
54,40.704895,-74.016703,2014-08-01 04:15:46,5249,576.078490927233,0,IN_PROGRESS,MTA NYCT_M20,MTA NYCT_MQ_C4-Weekday-144000_M104_34,68.40106563447625,MTA_404983
55,40.527179,-74.166834,2014-08-01 04:16:11,4513,"18,465.4586635358",1,IN_PROGRESS,MTA NYCT_S78,MTA NYCT_CH_C4-Weekday-141000_MISC_881,84.54003834068862,MTA_201175
56,40.704895,-74.016725,2014-08-01 04:16:18,5249,579.878550129142,0,IN_PROGRESS,MTA NYCT_M20,MTA NYCT_MQ_C4-Weekday-144000_M104_34,64.60100643256737,MTA_404983
57,40.705994,-74.017986,2014-08-01 04:16:49,5249,776.486557020107,0,IN_PROGRESS,MTA NYCT_M20,MTA NYCT_MQ_C4-Weekday-144000_M104_34,64.60100643256737,MTA_404983
58,40.526779,-74.173707,2014-08-01 04:16:56,4513,"19,067.2619041223",1,IN_PROGRESS,MTA NYCT_S78,MTA NYCT_CH_C4-Weekday-141000_MISC_881,129.58932230703067,MTA_201178
59,40.707888,-74.016522,2014-08-01 04:17:21,5249,"1,025.94598682788",0,IN_PROGRESS,MTA NYCT_M20,MTA NYCT_MQ_C4-Weekday-144000_M104_34,64.8712721781485,MTA_403397
60,40.52612,-74.180742,2014-08-01 04:17:29,4513,"19,671.6686510655",1,IN_PROGRESS,MTA NYCT_S78,MTA NYCT_CH_C4-Weekday-141000_MISC_881,129.58932230703067,MTA_201178
61,40.708594,-74.017071,2014-08-01 04:17:53,5249,"1,098.32516987024",0,IN_PROGRESS,MTA NYCT_M20,MTA NYCT_MQ_C4-Weekday-144000_M104_34,259.0229248151445,MTA_403399
62,40.52612,-74.180742,2014-08-01 04:18:01,4513,"19,671.6686510655",1,IN_PROGRESS,MTA NYCT_S78,MTA NYCT_CH_C4-Weekday-141000_MISC_881,0,MTA_203131
63,40.710052,-74.016148,2014-08-01 04:18:25,5249,"1,319.80854036435",0,IN_PROGRESS,MTA NYCT_M20,MTA NYCT_MQ_C4-Weekday-144000_M104_34,37.53955432103248,MTA_403399
64,40.525176,-74.183179,2014-08-01 04:18:32,4513,"19,908.1649545235",1,IN_PROGRESS,MTA NYCT_S78,MTA NYCT_CH_C4-Weekday-141000_MISC_881,307.44519449529616,MTA_201181
65,40.7113,-74.015791,2014-08-01 04:18:56,5249,"1,459.59331362914",0,IN_PROGRESS,MTA NYCT_M20,MTA NYCT_MQ_C4-Weekday-144000_M104_34,37.53955432103248,MTA_403399
66,40.523581,-74.187631,2014-08-01 04:19:03,4513,"20,323.6643590777",1,IN_PROGRESS,MTA NYCT_S78,MTA NYCT_CH_C4-Weekday-141000_MISC_881,96.04818671906833,MTA_201182
67,40.521113,-74.193698,2014-08-01 04:19:35,4513,"20,894.2300173069",1,IN_PROGRESS,MTA NYCT_S78,MTA NYCT_CH_C4-Weekday-141000_MISC_881,96.04818671906833,MTA_201182
68,40.519264,-74.19697,2014-08-01 04:20:06,4513,"21,251.0141200575",1,IN_PROGRESS,MTA NYCT_S78,MTA NYCT_CH_C4-Weekday-141000_MISC_881,0,MTA_201184
69,40.713524,-74.013791,2014-08-01 04:20:33,5249,"1,884.30422308786",0,IN_PROGRESS,MTA NYCT_M20,MTA NYCT_MQ_C4-Weekday-144000_M104_34,334.26321577769704,MTA_405063
70,40.517903,-74.20101,2014-08-01 04:20:38,4513,"21,622.4895846594",1,IN_PROGRESS,MTA NYCT_S78,MTA NYCT_CH_C4-Weekday-141000_MISC_881,191.3395775535755,MTA_201186
71,40.715025,-74.013543,2014-08-01 04:20:45,5249,"2,053.40208518718",0,IN_PROGRESS,MTA NYCT_M20,MTA NYCT_MQ_C4-Weekday-144000_M104_34,334.26321577769704,MTA_405063
72,40.514365,-74.206468,2014-08-01 04:21:09,4513,"22,233.6443715695",1,IN_PROGRESS,MTA NYCT_S78,MTA NYCT_CH_C4-Weekday-141000_MISC_881,191.3395775535755,MTA_201186
73,40.715669,-74.014837,2014-08-01 04:21:17,5249,"2,194.97238834007",0,IN_PROGRESS,MTA NYCT_M20,MTA NYCT_MQ_C4-Weekday-144000_M104_34,23.59505052548775,MTA_405063
74,40.510945,-74.211961,2014-08-01 04:21:40,4513,"22,832.5273283571",1,IN_PROGRESS,MTA NYCT_S78,MTA NYCT_CH_C4-Weekday-141000_MISC_881,11.994720267328375,MTA_201187
75,40.715805,-74.015089,2014-08-01 04:21:48,5249,"2,226.49173851428",0,IN_PROGRESS,MTA NYCT_M20,MTA NYCT_MQ_C4-Weekday-144000_M104_34,23.59505052548775,MTA_405063
76,40.509427,-74.219187,2014-08-01 04:22:12,4513,"23,462.0123151619",1,IN_PROGRESS,MTA NYCT_S78,MTA NYCT_CH_C4-Weekday-141000_MISC_881,386.34707581873954,MTA_201191
